,labels,A680_N0,A680_N1,A680_N2,A680_C0,A680_C1,A680_C2,sites,y,x,A594_N0,A594_N1,A594_N2,A594_C0,A594_C1,A594_C2,A532_N0,A532_N1,A532_N2,A532_C0,A532_C1,A532_C2,A488_N0,A488_N1,A488_N2,A488_C0,A488_C1,A488_C2,A430_N0,A430_N1,A430_N2,A430_C0,A430_C1,A430_C2,A405_N0,A405_N1,A405_N2,A405_C0,A405_C1,A405_C2
14485,91,33.8105430603,0.0,312.790710449,94.9262924194,0.0,166.720092773,E9-Site_4,237.689655172,220.793103448,672.44140625,1469.51782227,818.265136719,381.03213501,1725.27416992,748.653442383,38205.1640625,415.869384766,54.0115013123,907.407348633,123.317855835,55.8720588684,0.0,0.0,0.0,0.0,72.1517410278,0.0,0.0,733.285644531,137.817398071,0.0,87.4147872925,57.0514411926,0.0,3613.79638672,404.633392334,0.0,1216.68725586,111.784179688
14486,92,59.9570617676,0.0,276.678649902,77.1101913452,0.0,162.145553589,E9-Site_4,240.0,3.5,502.621520996,1478.02197266,723.197753906,458.750976562,1810.0123291,974.166381836,20927.8183594,379.431640625,25.4274120331,1435.71337891,121.310203552,43.9172935486,0.0,0.0,0.0,0.0,177.173919678,0.0,0.0,1365.53894043,106.872634888,0.0,115.351501465,86.0687713623,0.0,4640.95214844,181.974105835,0.0,1006.18347168,189.220840454
14487,93,48.5938644409,0.0,210.368621826,54.8693504333,0.0,101.594497681,E9-Site_4,242.611111111,61.2777777778,285.802307129,1005.81506348,459.823181152,170.901931763,910.202392578,395.038970947,12858.8476562,184.383071899,25.0111732483,143.75730896,42.5866584778,22.3812828064,0.0,0.0,0.0,52.2420387268,49.5558395386,0.0,0.0,906.308837891,107.833213806,0.0,40.6634559631,29.8320217133,0.0,3368.29052734,111.050117493,0.0,832.579956055,32.5251426697
14488,94,116.453895569,0.0,417.145172119,90.6541671753,0.0,123.078392029,E9-Site_4,243.620689655,371.517241379,544.119567871,2360.43115234,1170.80871582,207.186340332,1976.21203613,410.302062988,27390.75,432.74105835,73.0989456177,198.613174438,73.6739044189,27.5591487885,0.0,0.0,0.0,69.3151550293,0.106301032007,0.0,0.0,650.630432129,167.62550354,0.0,50.767162323,42.9091911316,0.0,3026.44018555,350.801330566,0.0,909.888916016,97.5030212402
14489,95,66.4342041016,0.0,309.223114014,49.9195594788,0.0,133.123703003,E9-Site_4,251.19047619,95.8571428571,221.967514038,1070.75402832,858.616149902,197.959228516,913.651550293,639.942321777,5626.90966797,167.322769165,62.8778839111,122.455169678,46.4073524475,32.3798484802,0.0,1.72510910034,0.0,62.8810958862,64.9253540039,0.0,0.0,720.629943848,69.4239196777,0.0,30.6908359528,50.2527770996,0.0,3060.61938477,124.26889801,0.0,768.445678711,19.2580299377
14491,97,63.2359962463,0.0,251.851211548,53.6084136963,0.0,104.533554077,E9-Site_4,255.157894737,57.2631578947,268.168823242,1051.15063477,553.00012207,181.926651001,942.543884277,374.798583984,10938.9384766,201.135986328,33.3743133545,156.810470581,46.9591903687,17.6569194794,0.0,0.0,0.0,43.9452209473,56.0562171936,0.0,0.0,972.489807129,105.033714294,0.0,47.146774292,29.1146640778,0.0,3805.15161133,207.578292847,0.0,887.717895508,44.1703262329
14492,98,57.5130119324,0.0,265.10168457,59.7427520752,0.0,97.3068618774,E9-Site_4,257.432432432,118.891891892,201.886230469,1053.42504883,558.811645508,149.121414185,960.17565918,324.289367676,8458.81445312,206.656936646,30.3740520477,119.555450439,43.5952911377,16.7678985596,0.0,0.0,0.0,56.5537910461,29.955242157,0.0,0.0,629.528808594,88.9909591675,0.0,41.0177078247,38.2716064453,0.0,3570.4934082,273.693145752,0.0,961.05255127,90.4630355835
14493,99,71.0370101929,0.0,314.496643066,106.531394958,0.0,135.220977783,E9-Site_4,256.4,212.3,663.758117676,1832.1081543,1347.27636719,347.690795898,1766.52661133,638.27722168,26523.8867188,274.42666626,87.518371582,711.50378418,96.946434021,33.6337509155,0.0,47.1125946045,0.0,0.0,140.266403198,0.0,0.0,775.688659668,78.0257263184,0.0,83.2149734497,30.4361381531,0.0,3757.51074219,263.752166748,0.0,1358.27868652,134.764678955
14494,100,119.49357605,0.0,369.861816406,98.0521240234,0.0,104.627349854,E9-Site_4,267.0,80.8214285714,357.101013184,2255.04638672,885.32043457,186.784805298,2330.27197266,272.695800781,12289.1083984,341.57244873,74.1298446655,526.441223145,102.466026306,27.7195663452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,960.006652832,108.96647644,0.0,82.8865432739,57.6805610657,0.0,4868.49755859,367.518066406,0.0,993.56427002,82.0692749023
14495,101,223.649673462,0.0,339.672302246,116.493522644,0.0,101.935501099,E9-Site_4,284.411764706,79.3529411765,408.790710449,2256.49560547,1192.75720215,156.355270386,2724.41967773,299.458068848,6147.79492188,255.016204834,96.5851593018,2796.41772461,96.7544174194,5.21411275864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,682.789550781,118.090820312,0.0,187.104736328,67.7272567749,0.0,3932.78710938,374.776275635,0.0,1077.8079834,227.401977539
14496,102,168.764068604,0.0,367.433258057,124.365776062,0.0,140.070358276,E9-Site_4,292.407407407,87.5185185185,371.634979248,2135.73974609,1106.7635498,79.3977355957,1351.17431641,335.690856934,6457.67382812,264.926483154,62.7083282471,138.186203003,67.948425293,21.8321170807,0.0,0.0,0.0,116.382766724,0.0,0.0,0.0,474.530181885,137.432678223,0.0,68.5235977173,37.6793479919,0.0,4355.01660156,339.493896484,0.0,1306.69140625,110.756622314
14497,103,38.3806114197,0.0,214.258590698,133.199417114,0.0,132.86907959,E9-Site_4,293.695652174,367.130434783,580.697814941,1349.02941895,846.137451172,637.509765625,1777.63378906,1424.10327148,20294.4140625,481.197631836,70.1104202271,262.305664062,132.819900513,67.8203735352,0.0,0.0,0.0,306.629974365,273.727325439,0.0,0.0,631.604858398,50.9284896851,0.0,71.0183181763,55.0991630554,0.0,2554.01245117,227.667282104,0.0,1108.11096191,171.333679199
14498,104,54.0835266113,0.0,283.3253479,85.125541687,0.0,169.722869873,E9-Site_4,294.857142857,247.785714286,330.482208252,1386.11169434,845.28302002,246.9480896,1562.6706543,868.286682129,13837.2519531,369.846801758,36.8617095947,145.517684937,73.9370727539,59.3060874939,0.0,0.0,0.0,53.9711380005,93.9209518433,0.0,0.0,551.636474609,64.3346328735,0.0,54.3808135986,86.1585922241,0.0,3682.47021484,99.5512084961,0.0,1054.53063965,179.900970459
14499,105,73.7047424316,0.0,310.121032715,80.1735687256,0.0,151.654220581,E9-Site_4,299.083333333,273.166666667,365.924682617,1872.6472168,817.967224121,202.407867432,1738.25671387,559.989868164,11350.9951172,314.084594727,34.5119476318,144.903991699,86.2957000732,29.2558956146,0.0,0.0,1.47443044186,35.5600204468,60.247844696,0.0,0.0,702.528930664,161.042480469,0.0,40.8720817566,45.0322685242,0.0,3963.52197266,536.424682617,0.0,974.418151855,113.543960571
14500,106,0.0,0.0,175.460388184,66.7582702637,0.0,75.1628417969,E9-Site_4,306.8,372.45,342.832489014,1111.33361816,625.681884766,302.908355713,1118.53222656,788.629516602,17501.8652344,364.183166504,18.1448516846,277.157073975,58.5673294067,44.3191184998,0.0,0.0,0.0,48.8947982788,95.7447509766,0.0,0.0,524.380615234,58.4181480408,0.0,24.7964134216,73.5956954956,0.0,2271.47216797,221.198486328,0.0,528.372558594,98.8677062988
14501,107,4.46256542206,0.0,155.741043091,31.1651935577,0.0,48.5273017883,E9-Site_4,309.6875,389.0625,300.456604004,700.387573242,416.648101807,95.6896286011,837.379882812,289.795349121,13021.0,347.108093262,8.71653747559,145.87890625,43.0313491821,13.421787262,0.0,0.0,0.0,0.0,6.61266613007,0.0,0.0,365.51739502,14.2140235901,0.0,41.2688674927,28.9162654877,0.0,1801.92114258,155.932006836,0.0,446.313537598,35.7783737183
14502,108,31.7276630402,0.0,198.037017822,45.7290763855,0.0,81.9197387695,E9-Site_4,324.0,97.7,272.24206543,1058.13171387,525.601806641,164.442214966,1067.82922363,316.887207031,11466.9804688,218.99331665,25.304058075,132.5887146,37.5926628113,19.2667655945,0.0,0.0,0.0,2.45685386658,33.8839187622,0.0,0.0,917.344787598,107.380661011,0.0,42.6128845215,15.4532632828,0.0,3285.58251953,316.665588379,0.0,825.413085938,48.2204170227
